GEOID,State,ED Cost,PO Cost,PMPM,EDs,HOs,POs,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,TotalChild,TotalAdult,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37141920102,NC,126444.8772,62961.50589,1213.399884,1437.855103,23.20022814,1068.049057,86.66666667,5.625,7.708333333,41.00719424,15.10791367,43.88489209,6,62354,6.9,76.9,Rural,85,1017,15.09956265,0.888805843,31.3682074,7,16,48,11.1,1.0769
37047931300,NC,580856.1385,291234.4344,9015.242609,9917.471559,129.5502445,6583.81676,57.70904784,32.69977232,9.59117984,35.4693998,13.0446147,51.48598551,10.8,41379,12.4,9.2,Urban,1384,4601,25,1,39.90422985,7,17,30,9.9,0.8427
37019020202,NC,359858.0806,146145.0459,4839.167512,4930.414857,82.53013528,2909.413931,75.62108588,18.1111031,6.26781102,34.14577031,16.14240689,49.7118228,13.1,60316,6.7,31.3,Urban,1306,4303,20.47979848,0.759609341,41.86821312,7,17,44,9.9,1.3058
37019020102,NC,171554.046,75440.44408,2313.479241,2232.028461,35.43059412,1429.990655,63.39285714,27.87267081,8.73447205,42.15063521,15.06352087,42.78584392,16,36598,13.2,15.9,Urban,636,1684,16.91038538,0.789913181,41.86821312,7,17,44,9.9,1.2637
37019020101,NC,137197.8947,59762.81996,1874.354454,1804.251094,28.6196445,1141.210066,60.89660551,30.43723064,8.666163852,42.00522087,14.97353074,43.02124839,15.5,31182,28.9,5.4,Urban,1052,1879,16.90050783,0.718716296,41.86821312,7,17,44,9.9,1.2637
37019020201,NC,152753.6036,67172.99858,2059.947282,1987.422615,31.54778949,1273.279358,63.39285714,27.87267081,8.73447205,42.15063521,15.06352087,42.78584392,3.4,60538,5.9,35.1,Urban,780,2190,2.215347982,0.664938061,41.86821312,7,17,44,9.9,1.2834
37019020103,NC,631120.4428,277533.5679,8510.92747,8211.282821,130.3436017,5260.711457,63.39285714,27.87267081,8.73447205,42.15063521,15.06352087,42.78584392,14,60699,14.2,35.3,Urban,2176,6466,11.15788007,0.773586722,41.86821312,7,17,44,9.9,1.2637
37019020104,NC,327963.2911,144221.0015,4422.724403,4267.013324,67.73337339,2733.741654,63.39285714,27.87267081,8.73447205,42.15063521,15.06352087,42.78584392,12.3,45210,6.8,15,Urban,1008,3807,10.77502117,0.732960683,41.86821312,7,17,44,9.9,1.2637
37133000302,NC,473242.4301,219543.8181,6697.682259,7410.568542,114.1317407,3888.171717,48.64414988,39.87908689,11.47676323,49.23881712,13.32979618,37.43138669,7.1,41431,12.5,7.7,Urban,1929,6564,17.77266898,0.822520442,32.19416904,7,14,34,7,0.741
37133000301,NC,371520.6138,174283.0589,5360.23348,5779.923012,92.22969749,3214.266771,57.98120247,31.3021795,10.71661802,47.07808388,13.8682767,39.05363943,4.5,40293,11.9,6.1,Urban,1345,4298,20.9708209,0.905802329,32.19416904,7,14,34,7,0.741
37141920602,NC,406250.789,167899.5092,5783.553324,5903.843063,86.2454729,3078.169016,64.54388985,23.66609294,11.79001721,45.71428571,15.76719577,38.51851852,6.1,51197,14.3,7.2,Urban,1933,4684,20.4100614,0.69237606,31.3682074,7,16,48,11.1,1.2429
37061090702,NC,403234.5057,158440.2968,7105.088755,5735.328692,124.0249619,2968.439821,45.44640857,43.6947526,10.85883883,37.0854249,13.33709492,49.57748018,10.1,32464,9,18.5,Rural,1356,4805,8.197913571,0.71815225,24.98625756,7,18,22,10,0.557
37061090701,NC,299819.2668,113854.7302,5413.310013,4209.184627,88.47603158,2176.050679,44.31851455,44.60132933,11.08015612,38.41574136,13.5138316,48.07042704,19.4,28375,24.4,5.5,Rural,1324,2933,20.7256687,0.883835384,24.98625756,7,18,22,10,0.557
37019020307,NC,89714.19491,26358.47751,1042.912602,1136.251587,17.21878439,504.6138836,82.86176233,11.23686338,5.901374293,44.14587332,16.60268714,39.25143954,50,91667,10.4,63,Rural,0,100,1.086171,0.131733333,41.86821312,7,17,44,9.9,1.4954
